Serie;Codigo_municipio;Nombre;paro_25_44_2022;paro_25_44_2023;paro_mayores_25_2022;paro_mayores_25_2023;paro_mayores_45_2022;paro_mayores_45_2023;paro_menores_25_2022;paro_menores_25_2023;paro_100_habitantes_2022;paro_100_habitantes_2023;paro_registrado_total_2022;paro_registrado_total_2023;porcentaje_paro_mayores_25_2022;porcentaje_paro_mayores_25_2023;porcentaje_paro_menores_25_2022;porcentaje_paro_menores_25_2023;variacion_paro_registrado_2022;variacion_paro_registrado_2023
Municipios;1258;Robledo de Chavela;105;85;277;241;172;156;31;34;6.71;5.84;308;275;89.94;87.64;10.06;12.36;-8.33;-10.71
Municipios;1261;Robregordo;3;2;3;4;0;2;0;0;4.29;5.06;3;4;100.00;100.00;0.00;0.00;50.00;33.33
Municipios;1277;Rozas de Madrid (Las);913;782;2790;2524;1877;1742;88;88;3.01;2.66;2878;2612;96.94;96.63;3.06;3.37;-19.90;-9.24
Municipios;1283;Rozas de Puerto Real;8;14;24;29;16;15;3;6;4.68;6.06;27;35;88.89;82.86;11.11;17.14;-35.71;29.63
Municipios;1296;San Agustín del Guadalix;170;140;518;468;348;328;17;23;3.93;3.60;535;491;96.82;95.32;3.18;4.68;-21.67;-8.22
Municipios;1300;San Fernando de Henares;827;712;2091;1909;1264;1197;181;158;5.84;5.30;2272;2067;92.03;92.36;7.97;7.64;-21.60;-9.02
Municipios;1317;San Lorenzo de El Escorial;307;248;818;701;511;453;57;38;4.75;4.00;875;739;93.49;94.86;6.51;5.14;-22.29;-15.54
Municipios;1338;San Martín de Valdeiglesias;263;237;593;575;330;338;61;53;7.42;6.98;654;628;90.67;91.56;9.33;8.44;-19.66;-3.98
Municipios;1322;San Martín de la Vega;515;492;1231;1172;716;680;121;106;6.78;6.29;1352;1278;91.05;91.71;8.95;8.29;-22.12;-5.47
Municipios;1343;San Sebastián de los Reyes;1435;1241;3568;3275;2133;2034;221;229;4.16;3.78;3789;3504;94.17;93.46;5.83;6.54;-23.16;-7.52
Municipios;1356;Santa María de la Alameda;33;38;95;101;62;63;4;6;6.60;7.05;99;107;95.96;94.39;4.04;5.61;-20.16;8.08
